id,age,education,vip
471,47,14,0
472,64,12,0
473,52,8,0
474,57,13,0
475,69,12,0
476,33,16,0
477,30,20,0
478,67,18,1
479,59,13,0
480,47,11,0
481,36,14,0
482,34,20,1
483,36,10,1
484,45,8,0
485,43,8,0
486,54,6,0
487,43,17,0
488,40,20,0
489,26,13,0
490,29,7,0
491,18,8,0
492,18,13,0
493,64,19,0
494,51,13,0
495,49,19,0
496,65,16,0
497,42,9,0
498,57,9,0
499,62,10,1
500,18,11,0
501,33,10,0
502,56,19,0
503,22,20,0
504,39,12,0
505,46,7,0
506,20,12,1
507,29,15,0
508,43,12,1
509,33,6,1
510,68,12,0
511,54,10,1
512,39,8,0
513,46,18,0
514,31,8,0
515,45,9,1
516,22,18,1
517,64,17,0
518,66,7,0
519,47,7,0
520,63,6,0
521,69,20,0
522,22,10,0
523,29,9,0
524,33,16,0
525,43,15,1
526,43,20,0
527,65,7,0
528,38,8,0
529,56,12,1
530,53,12,1
531,50,17,0
532,47,9,0
533,54,10,0
534,40,10,0
535,27,11,0
536,22,19,0
537,53,14,0
538,51,7,0
539,69,10,0
540,48,17,0
541,27,8,0
542,36,9,1
543,49,15,0
544,18,11,1
545,22,17,0
546,62,13,0
547,21,6,0
548,33,15,0
549,41,19,0
550,33,13,0
551,19,16,0
552,66,19,0
553,45,12,0
554,49,6,0
555,44,7,0
556,37,8,0
557,41,6,0
558,29,19,0
559,67,14,1
560,52,13,0
561,50,7,0
562,50,18,1
563,68,14,0
564,60,12,0
565,54,14,0
566,29,11,0
567,20,11,0
568,18,16,0
569,50,19,0
570,57,9,0
571,27,15,1
572,60,15,0
573,61,18,0
574,46,18,0
575,30,7,0
576,29,12,0
577,48,10,0
578,63,16,0
579,19,11,1
580,68,7,0
581,67,10,0
582,52,15,0
583,40,9,0
584,34,14,0
585,43,11,0
586,25,7,0
587,46,6,0
588,43,10,0
589,27,14,0
590,43,11,0
591,51,15,0
592,68,17,0
593,58,12,0
594,24,10,0
595,21,15,0
596,67,11,0
597,62,10,0
598,28,16,1
599,46,14,0
600,53,20,1
601,42,11,0
602,38,16,0
603,53,13,0
604,27,7,0
605,54,17,0
606,26,18,0
607,41,14,0
608,52,10,0
609,66,12,0
610,52,15,0
611,65,18,0
612,53,6,0
613,35,15,0
614,66,10,0
615,56,17,0
616,49,19,1
617,41,15,1
618,40,19,0
619,49,7,0
620,54,17,0
621,29,11,0
622,66,16,0
623,30,6,0
624,40,8,0
625,42,10,1
626,52,9,0
627,58,8,0
628,47,15,0
629,34,18,1
630,66,10,0
631,37,16,0
632,65,13,0
633,42,16,0
634,39,9,0
635,30,6,0
636,36,16,0
637,66,12,0
638,53,13,0
639,29,8,0
640,58,11,0
641,36,7,0
642,29,12,0
643,26,20,0
644,24,13,1
645,45,11,0
646,31,11,0
647,48,10,0
648,69,13,0
649,36,6,0
650,64,15,0
651,33,9,0
652,22,20,0
653,52,9,0
654,29,8,0
655,42,8,0
656,69,9,0
657,38,16,0
658,53,6,0
659,40,19,1
660,33,16,0
661,56,18,0
662,62,16,0
663,59,7,0
664,56,14,0
665,31,15,0
666,48,7,0
667,22,10,0
668,52,14,0
669,40,14,0
670,46,13,0
671,60,6,1
672,28,6,0
673,35,14,0
674,64,18,1
675,29,16,0
676,26,13,0
677,27,15,0
678,61,14,0
679,34,12,0
680,55,8,0
681,24,8,0
682,63,7,1
683,30,10,0
684,57,17,0
685,59,17,0
686,26,8,0
687,67,19,0
688,44,11,1
689,19,7,0
690,22,17,0
691,46,8,0
692,54,10,1
693,55,17,0
694,36,16,0
695,25,16,0
696,65,6,1
697,62,18,0
698,18,6,1
699,39,15,0
700,69,14,0
701,34,12,0
702,24,6,0
703,42,20,0
704,62,17,0
705,21,19,0
706,53,13,0
707,23,8,0
708,48,13,1
709,36,20,1
710,61,10,0
711,56,6,0
712,44,12,0
713,27,10,0
714,43,11,0
715,36,11,0
716,56,13,0
717,20,14,0
718,62,7,0
719,30,14,0
720,67,17,0
721,45,20,0
722,37,16,0
723,45,15,0
724,25,14,0
725,58,18,1
726,56,15,0
727,18,20,0
728,20,15,0
729,30,12,0
730,45,6,0
731,66,12,0
732,42,15,0
733,50,10,1
734,55,11,0
735,23,15,0
736,61,12,0
737,62,19,0
738,49,20,0
739,62,10,0
740,64,12,0
741,38,14,0
742,33,8,0
743,38,13,0
744,28,7,0
745,54,16,0
746,53,12,0
747,52,18,0
748,36,7,0
749,37,20,0
750,35,19,1
751,64,9,0
752,58,12,0
753,66,8,0
754,31,7,0
755,32,16,1
756,48,15,1
757,18,12,0
758,20,6,0
759,33,19,0
760,40,20,1
761,28,13,0
762,29,8,0
763,27,17,0
764,49,17,0
765,33,18,0
766,25,7,0
767,55,8,0
768,29,10,0
769,41,16,0
770,45,13,0
771,25,15,0
772,45,12,0
773,53,12,0
774,43,17,0
775,25,12,0
776,67,20,0
777,45,13,0
778,45,6,0
779,54,9,0
780,58,18,0
781,53,11,0
782,44,14,0
783,34,18,0
784,26,7,0
785,50,6,0
786,37,18,0
787,30,15,0
788,45,17,0
789,65,19,0
790,46,7,0
791,30,12,0
792,63,8,0
793,52,15,0
794,23,7,0
795,35,19,0
796,68,16,0
797,22,12,0
798,64,18,1
799,42,18,1
800,19,7,0
801,27,8,0
802,47,16,0
803,67,12,0
804,62,19,0
805,22,9,0
806,50,18,0
807,18,19,0
808,35,6,0
809,49,18,0
810,64,19,0
811,66,10,0
812,28,17,0
813,38,14,0
814,43,13,0
815,42,17,0
816,39,20,0
817,44,14,0
818,66,15,0
819,30,19,1
820,50,14,0
821,51,20,0
822,58,12,1
823,52,9,0
824,18,10,0
825,38,6,0
826,65,19,0
827,23,6,0
828,45,8,0
829,34,18,0
830,22,19,0
831,48,13,0
832,22,19,0
833,55,7,0
834,20,9,0
835,40,7,0
836,54,19,0
837,54,10,0
838,27,14,0
839,27,6,0
840,36,10,1
841,34,19,0
842,38,20,0
843,31,14,0
844,26,20,0
845,63,6,0
846,18,14,1
847,68,13,0
848,62,9,0
849,30,17,0
850,21,16,0
851,18,15,0
852,66,10,0
853,57,18,0
854,49,10,0
855,51,16,0
856,45,17,1
857,48,11,0
858,25,12,0
859,56,13,0
860,43,20,0
861,51,19,1
862,20,13,0
863,67,16,0
864,29,19,1
865,18,18,0
866,61,7,1
867,22,14,0
868,47,12,0
869,47,9,0
870,34,9,0
871,65,16,1
872,64,13,0
873,40,9,0
874,32,18,0
875,54,20,0
876,38,11,0
877,31,10,1
878,19,8,0
879,28,18,0
880,68,19,0
881,56,15,0
882,55,16,0
883,51,7,0
884,55,14,1
885,67,15,0
886,51,14,0
887,35,6,0
888,47,15,1
889,32,8,0
890,44,13,0
891,68,11,0
892,51,10,0
893,69,10,0
894,55,11,0
895,50,20,0
896,41,12,0
897,32,6,1
898,47,14,0
899,59,8,0
900,68,9,0
901,34,15,0
902,22,6,0
903,46,18,0
904,21,16,0
905,27,15,0
906,34,8,0
907,27,7,0
908,34,7,0
909,37,19,0
910,41,6,0
911,22,13,0
912,51,8,0
913,23,8,0
914,19,11,0
915,30,18,0
916,60,13,0
917,60,18,1
918,65,20,1
919,28,14,1
920,68,14,0
921,64,9,0
922,40,19,1
923,33,10,0
924,48,7,0
925,28,16,0
926,33,14,0
927,25,13,1
928,21,8,0
929,57,16,0
930,21,17,0
931,42,18,0
932,20,14,0
933,49,8,0
934,20,14,0
935,44,7,1
936,46,17,0
937,49,15,0
938,67,14,0
939,68,20,0
940,36,13,0
941,38,14,0
942,22,10,0
943,35,16,0
944,45,16,1
945,59,7,0
946,39,13,0
947,38,17,0
948,23,20,0
949,18,11,0
950,22,13,1
951,58,16,1
952,29,10,0
953,43,15,1
954,63,7,0
955,51,11,0
956,66,10,0
957,31,17,1
958,43,18,0
959,62,17,0
960,44,10,0
961,26,18,0
962,43,6,0
963,64,7,1
964,39,13,0
965,64,18,0
966,47,19,1
967,60,18,0
968,65,8,1
969,34,15,0
970,43,8,0
971,53,13,0
972,18,13,1
973,25,7,0
974,66,13,0
975,52,16,0
976,69,18,0
977,32,18,0
978,64,6,0
979,39,11,1
980,31,13,0
981,43,8,0
982,45,13,0
983,40,17,1
984,31,6,0
985,41,16,0
986,19,16,0
987,62,14,0
988,43,18,0
989,31,16,0
990,68,18,0
991,24,14,0
992,20,10,0
993,64,15,0
994,40,9,0
995,63,20,0
996,60,16,0
997,64,11,0
998,62,17,0
999,35,12,0
1000,55,10,0
